id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,ath,ath_change_percentage,ath_date
bitcoin,btc,Bitcoin,29166.0,567510558074,1,9716805930,29430.0,29119.0,-142.11421068100026,-0.48489,-2737356646.5046387,-0.48003,69045.0,-57.75175,2021-11-10T14:24:11.849Z
ethereum,eth,Ethereum,1826.36,219546215537,2,4767525511,1846.04,1818.53,-13.11113755160136,-0.71277,-1564235291.8093567,-0.70745,4878.26,-62.53803,2021-11-10T14:24:19.604Z
tether,usdt,Tether,0.999166,83351590824,3,17132136491,1.001,0.996782,0.00088238,0.08839,53585435.0,0.06433,1.32,-24.47337,2018-07-24T00:00:00.000Z
binancecoin,bnb,BNB,236.16,36333571229,4,426793223,240.49,235.56,-3.670638762625998,-1.53052,-566475349.6873245,-1.53516,686.31,-65.58264,2021-05-10T07:24:17.097Z
ripple,xrp,XRP,0.603569,31803800107,5,1136561081,0.635508,0.596803,-0.02496828607018753,-3.97244,-1348964691.6692772,-4.06894,3.4,-82.2598,2018-01-07T00:00:00.000Z
usd-coin,usdc,USD Coin,1.0,25930414011,6,2223925851,1.002,0.998887,0.00080143,0.08019,-43033842.98654938,-0.16568,1.17,-14.75752,2019-05-08T00:40:28.300Z
dogecoin,doge,Dogecoin,0.071259,10019360783,8,494452264,0.074974,0.071035,-0.00371473440136845,-4.95469,-573884600.5385876,-5.41746,0.731578,-90.27286,2021-05-08T05:08:23.458Z
cardano,ada,Cardano,0.281469,9864526290,9,159320699,0.290966,0.279226,-0.008120958432984215,-2.80429,-290232288.03980446,-2.85809,3.09,-90.88032,2021-09-02T06:00:10.474Z
solana,sol,Solana,24.02,9762547475,10,436859162,25.24,23.99,-0.7449453075083419,-3.00749,-305105681.0209198,-3.03055,259.96,-90.75293,2021-11-06T21:54:35.825Z
polkadot,dot,Polkadot,4.77,6041568524,12,98487691,4.99,4.75,-0.19710148411942185,-3.96426,-245751460.3157196,-3.90868,54.98,-91.31336,2021-11-04T14:10:09.301Z
